GENE	Sample1
UBE2Q2P2	491
SSX9	7
CXorf67	2
EFCAB8	6
SPATA31B1P	0
SDR16C6P	0
GTPBP6	304
EFCAB12	57
A1BG	279
A1CF	3
RBFOX1	1
GGACT	257
A2ML1	210
A2M	10066
A4GALT	247
A4GNT	3
NPSR1-AS1	0
AAAS	378
AACS	692
AADACL2	4
AADACL3	19
AADACL4	0
AADAC	2
AADAT	52
AAGAB	1370
AAK1	3188
AAMP	1201
AANAT	1
AARS2	817
AARSD1	692
AARS	1430
AASDHPPT	456
AASDH	1082
AASS	1495
AATF	606
AATK	58
ABAT	1590
ABCA10	466
ABCA11P	283
ABCA12	2575
ABCA13	173
ABCA17P	50
ABCA1	5570
ABCA2	1032
ABCA3	1723
ABCA4	41
ABCA5	1924
ABCA6	2512
ABCA7	504
ABCA8	1472
ABCA9	1990
ABCB10	1673
ABCB11	11
ABCB1	207
ABCB4	32
ABCB5	574
ABCB6	217
ABCB7	651
ABCB8	803
ABCB9	616
ABCC10	466
ABCC11	5692
ABCC12	597
ABCC13	75
ABCC1	980
ABCC2	200
ABCC3	458
ABCC4	301
ABCC5	577
ABCC6P2	3
ABCC6	364
ABCC8	50
ABCC9	5483
ABCD1	259
ABCD2	16
ABCD3	3662
ABCD4	373
ABCE1	1926
ABCF1	1047
ABCF2	1443
ABCF3	724
ABCG1	1467
ABCG2	243
ABCG4	0
ABCG5	41
ABCG8	0
ABHD10	716
ABHD11	651
ABHD12B	32
ABHD12	518
ABHD13	1522
ABHD14A	353
ABHD14B	589
ABHD15	435
ABHD1	436
ABHD2	2777
ABHD3	1119
ABHD4	405
ABHD5	1012
ABHD6	89
ABHD8	175
ABI1	1265
ABI2	1990
ABI3BP	1579
ABI3	96
ABL1	2427
ABL2	4864
ABLIM1	2297
ABLIM2	98
ABLIM3	1146
ABO	6
AOC1	365
ABRA	20
ABR	1529
ABT1	315
ABTB1	129
ABTB2	274
ACAA1	703
ACAA2	237
ACACA	4251
ACACB	1636
ACAD10	616
ACAD11	939
ACAD8	815
ACAD9	816
ACADL	26
ACADM	1245
ACADSB	2833
ACADS	162
ACADVL	5076
ACAN	81
ACAP1	206
ACAP2	3220
ACAP3	988
ACAT1	399
ACAT2	120
ACBD3	3987
ACBD4	249
ACBD5	1250
ACBD6	826
ACBD7	1009
ASIC2	1
ASIC1	32
ASIC3	76
ASIC4	45
ASIC5	65
ACCSL	0
ACCS	144
ACD	82
ACE2	52
ACER1	1
ACER2	409
ACER3	520
ACE	299
ACHE	16
ACIN1	3392
ACLY	5158
ACMSD	13
SDHAF3	96
ACO1	1092
ACO2	1575
ACOT11	205
ACOT12	10
ACOT13	582
ACOT1	411
ACOT2	449
ACOT4	130
ACOT6	10
ACOT7	190
ACOT8	265
ACOT9	428
ACOX1	2966
ACOX2	197
ACOX3	771
ACOXL	88
ACP1	896
ACP2	233
ACP5	49
ACP6	594
PXYLP1	541
ACPP	240
ACPT	6
ACRBP	14
ACRC	160
ACRV1	1
ACR	3
ACSBG1	12
