GENE	Sample1
UBE2Q2P2	23.221
SSX9	0.412813
CXorf67	0.0780104
EFCAB8	0.112009
SPATA31B1P	0
SDR16C6P	0
GTPBP6	19.668536
EFCAB12	1.9781
A1BG	8.99037
A1CF	0.1062320547231
RBFOX1	0.0413468
GGACT	11.88269
A2ML1	5.333437
A2M	159.811751
A4GALT	8.83208
A4GNT	0.127211
NPSR1-AS1	0
AAAS	15.4454
AACS	17.986117
AADACL2	0.201578
AADACL3	0.366697
AADACL4	0
AADAC	0.0937962
AADAT	1.810275
AAGAB	37.148326
AAK1	23.090055767
AAMP	50.30473639
AANAT	0.0857197
AARS2	12.6022
AARSD1	38.133576
AARS	32.96021
AASDHPPT	11.87038936
AASDH	23.6154200138111
AASS	19.09864135343
AATF	21.1611000631128
AATK	0.8363309
ABAT	24.2467254567
ABCA10	8.906885
ABCA11P	11.406955
ABCA12	20.792593
ABCA13	2.8820754
ABCA17P	1.6987
ABCA1	41.02767
ABCA2	13.53421182
ABCA3	24.058737
ABCA4	0.682973
ABCA5	22.185378
ABCA6	42.95532
ABCA7	10.12295
ABCA8	40.5816601571076
ABCA9	39.50774
ABCB10	32.085
ABCB11	0.169934
ABCB1	3.225783
ABCB4	0.666165043
ABCB5	21.0929772
ABCB6	5.203651
ABCB7	20.57229
ABCB8	17.027831
ABCB9	17.03551
ABCC10	7.04347
ABCC11	105.15421
ABCC12	10.436293030427
ABCC13	2.02268
ABCC1	15.8349800049057
ABCC2	2.91922
ABCC3	18.53424
ABCC4	6.742619
ABCC5	10.311783748813
ABCC6P2	0.356778
ABCC6	10.860695
ABCC8	0.740764
ABCC9	83.26421
ABCD1	5.23098
ABCD2	0.220739
ABCD3	79.873295
ABCD4	11.6274
ABCE1	33.15640162385
ABCF1	23.756366
ABCF2	31.65233
ABCF3	21.98561
ABCG1	44.8429492
ABCG2	6.924711
ABCG4	0
ABCG5	1.5417123
ABCG8	0
ABHD10	20.174439
ABHD11	37.56771678
ABHD12B	1.635575
ABHD12	20.9538270400133
ABHD13	21.1577
ABHD14A	23.7249
ABHD14B	24.97652
ABHD15	11.8071
ABHD1	11.5069
ABHD2	23.27105
ABHD3	45.98594
ABHD4	12.798739
ABHD5	13.9339
ABHD6	2.6997655685
ABHD8	6.26369
ABI1	27.17913018859
ABI2	24.2483924082665
ABI3BP	28.719065
ABI3	3.40271
ABL1	31.0035
ABL2	39.55377760495
ABLIM1	34.3855106
ABLIM2	3.573214
ABLIM3	21.3917164206
ABO	0.313845453
AOC1	4.09652
ABRA	0.552034
ABR	24.410463
ABT1	10.4403
ABTB1	5.2636
ABTB2	4.87925
ACAA1	29.766412
ACAA2	10.01235
ACACA	37.353102704578
ACACB	14.23045
ACAD10	17.728556
ACAD11	25.09935
ACAD8	32.3885207348
ACAD9	34.41760799
ACADL	0.949928
ACADM	52.559038
ACADSB	35.7835
ACADS	6.406214167687
ACADVL	171.9673
ACAN	1.28575600149909
ACAP1	6.11672
ACAP2	41.2609
ACAP3	19.642352
ACAT1	14.36972
ACAT2	5.84607
ACBD3	82.8394
ACBD4	11.908089
ACBD5	24.79218448474
ACBD6	38.5152
ACBD7	23.35695
ASIC2	0.0215311
ASIC1	0.642635
ASIC3	2.87056560809
ASIC4	1.06888
ASIC5	2.88878
ACCSL	0
ACCS	4.744521
ACD	2.831025
ACE2	1.1137000196038
ACER1	0.0702869
ACER2	10.848817
ACER3	10.27611388
ACE	13.0650424219
ACHE	0.5468866
ACIN1	66.638951276
ACLY	87.66151
ACMSD	0.817548
SDHAF3	3.49433
ACO1	22.891536
ACO2	42.58626
ACOT11	6.378851
ACOT12	0.837057
ACOT13	10.34142
ACOT1	19.2926
ACOT2	19.63666
ACOT4	6.00316
ACOT6	0.766319
ACOT7	9.8280456732
ACOT8	11.427646
ACOT9	21.7963483
ACOX1	29.04367
ACOX2	6.36745
ACOX3	20.62422298
ACOXL	2.60372
ACP1	47.8302800079887
ACP2	7.915743
ACP5	2.403559
ACP6	16.96628
PXYLP1	13.361578
ACPP	7.59548
ACPT	0.337551
ACRBP	0.588183
ACRC	3.73346
ACRV1	0.0600039
ACR	0.2067186
ACSBG1	0.389936
ACSBG2	0.692541
ACSF2	26.115270004734
ACSF3	9.163844
ACSL1	55.929513
ACSL3	111.0702
ACSL4	14.5994909
ACSL5	8.527879
ACSL6	0.32559098151
ACSM1	1.722742
ACSM2A	9.66813
ACSM2B	0
ACSM3	1.802991
ACSM4	0.560359
ACSM5	1.494021
ACSS1	11.415136
ACSS2	13.2071
ACSS3	21.96841
ACTA1	0.106462
ACTA2	31.88217
ACTBL2	0.239476
ACTB	876.0112
ACTC1	0
ACTG1	1047.45482
ACTG2	1.42513
ACTL6A	27.0083
ACTL6B	0.0799029
ACTL7A	0.0527618
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	139.73209
ACTN2	0.140545
ACTN3	0.104119
ACTN4	92.311939
ACTR10	27.45749
ACTR1A	30.0474100004029
ACTR1B	15.7005
ACTR2	95.5819404927
ACTR3B	14.539814695
ACTR3C	21.9909
ACTR3	48.44715
ACTR5	11.5682
ACTR6	25.638126
ACTR8	15.62960839
ACTRT1	0.104992
ACTRT2	0
