GENE	Sample1
UBE2Q2P2	6
SSX9	1
CXorf67	0
EFCAB8	0
SPATA31B1P	0
SDR16C6P	0
GTPBP6	19
EFCAB12	1
A1BG	13
A1CF	1
RBFOX1	36
GGACT	7
A2ML1	14
A2M	2815
A4GALT	3
A4GNT	0
NPSR1-AS1	0
AAAS	24
AACS	27
AADACL2	0
AADACL3	0
AADACL4	0
AADAC	0
AADAT	7
AAGAB	52
AAK1	276
AAMP	66
AANAT	0
AARS2	37
AARSD1	24
AARS	235
AASDHPPT	73
AASDH	31
AASS	62
AATF	30
AATK	84
ABAT	124
ABCA10	13
ABCA11P	8
ABCA12	95
ABCA13	47
ABCA17P	2
ABCA1	1242
ABCA2	535
ABCA3	79
ABCA4	4
ABCA5	106
ABCA6	25
ABCA7	26
ABCA8	67
ABCA9	52
ABCB10	61
ABCB11	0
ABCB1	87
ABCB4	5
ABCB5	36
ABCB6	17
ABCB7	25
ABCB8	36
ABCB9	18
ABCC10	33
ABCC11	191
ABCC12	49
ABCC13	4
ABCC1	111
ABCC2	49
ABCC3	60
ABCC4	18
ABCC5	166
ABCC6P2	8
ABCC6	40
ABCC8	25
ABCC9	166
ABCD1	41
ABCD2	12
ABCD3	83
ABCD4	29
ABCE1	93
ABCF1	60
ABCF2	69
ABCF3	59
ABCG1	148
ABCG2	57
ABCG4	1
ABCG5	0
ABCG8	0
ABHD10	43
ABHD11	59
ABHD12B	12
ABHD12	96
ABHD13	47
ABHD14A	12
ABHD14B	32
ABHD15	34
ABHD1	31
ABHD2	345
ABHD3	48
ABHD4	47
ABHD5	30
ABHD6	44
ABHD8	17
ABI1	147
ABI2	144
ABI3BP	21
ABI3	20
ABL1	73
ABL2	211
ABLIM1	306
ABLIM2	18
ABLIM3	52
ABO	1
AOC1	11
ABRA	2
ABR	301
ABT1	13
ABTB1	15
ABTB2	20
ACAA1	69
ACAA2	63
ACACA	316
ACACB	104
ACAD10	37
ACAD11	63
ACAD8	68
ACAD9	49
ACADL	12
ACADM	123
ACADSB	115
ACADS	19
ACADVL	218
ACAN	20
ACAP1	3
ACAP2	168
ACAP3	60
ACAT1	71
ACAT2	12
ACBD3	116
ACBD4	14
ACBD5	104
ACBD6	27
ACBD7	60
ASIC2	2
ASIC1	17
ASIC3	0
ASIC4	5
ASIC5	1
ACCSL	0
ACCS	34
ACD	2
ACE2	50
ACER1	0
ACER2	40
ACER3	87
ACE	30
ACHE	5
ACIN1	185
ACLY	193
ACMSD	0
SDHAF3	11
ACO1	81
ACO2	236
ACOT11	60
ACOT12	1
ACOT13	82
ACOT1	51
ACOT2	71
ACOT4	9
ACOT6	0
ACOT7	22
ACOT8	20
ACOT9	28
ACOX1	196
ACOX2	4
ACOX3	32
ACOXL	2
ACP1	47
ACP2	86
ACP5	499
ACP6	25
PXYLP1	16
ACPP	6
ACPT	0
ACRBP	9
ACRC	10
ACRV1	0
ACR	0
ACSBG1	123
ACSBG2	2
ACSF2	51
ACSF3	34
ACSL1	605
ACSL3	246
ACSL4	117
ACSL5	38
ACSL6	40
ACSM1	76
ACSM2A	20
ACSM2B	0
ACSM3	2
ACSM4	1
ACSM5	32
ACSS1	71
ACSS2	56
ACSS3	56
ACTA1	0
ACTA2	78
ACTBL2	1
ACTB	4257
ACTC1	0
ACTG1	1289
ACTG2	1
ACTL6A	22
ACTL6B	1
ACTL7A	2
ACTL7B	0
ACTL8	0
ACTL9	0
ACTN1	341
ACTN2	11
ACTN3	1
ACTN4	230
ACTR10	41
ACTR1A	130
ACTR1B	53
ACTR2	386
ACTR3B	14
ACTR3C	12
ACTR3	216
ACTR5	27
ACTR6	35
ACTR8	59
ACTRT1	0
ACTRT2	0
ACVR1B	61
ACVR1C	13
ACVR1	51
ACVR2A	29
ACVR2B	52
ACVRL1	52
ACY1	26
ACY3	0
ACYP1	2
ACYP2	19
ADAD1	0
ADAD2	0
ADAL	15
ADAM10	161
ADAM11	13
ADAM12	34
ADAM15	152
ADAM17	81
ADAM18	0
ADAM19	17
ADAM20	3
ADAM21P1	0
ADAM21	3
ADAM22	27
ADAM23	24
ADAM28	53
ADAM29	0
ADAM2	8
ADAM30	0
ADAM32	5
ADAM33	3
ADAM3A	27
ADAM6	62
ADAM7	0
ADAM8	85
ADAM9	225
ADAMDEC1	190
ADAMTS10	27
ADAMTS12	2
ADAMTS13	18
ADAMTS14	14
ADAMTS15	5
ADAMTS16	5
ADAMTS17	13
ADAMTS18	0
ADAMTS19	1
ADAMTS1	113
ADAMTS20	0
ADAMTS2	30
ADAMTS3	16
ADAMTS4	49
ADAMTS5	7
ADAMTS6	4
ADAMTS7	15
ADAMTS8	13
ADAMTS9	56
ADAMTSL1	9
ADAMTSL2	25
ADAMTSL3	215
ADAMTSL4	30
ADAMTSL5	0
ADAP1	23
ADAP2	89
ADARB1	56
ADARB2	9
ADAR	705
ADAT1	37
ADAT2	8
ADAT3	4
ADA	7
ADCK1	9
ADCK2	48
ADCK4	48
ADCK5	9
ADCY10	11
ADCY1	82
ADCY2	96
ADCY3	124
ADCY4	1
ADCY5	22
ADCY6	51
ADCY7	126
ADCY8	33
ADCY9	59
ADCYAP1R1	68
ADCYAP1	4
AZIN2	9
ADD1	334
ADD2	50
ADD3	303
ADH1A	0
ADH1B	23
ADH1C	0
ADH4	6
ADH5	131
ADH6	0
ADH7	0
ADHFE1	11
ADI1	136
ADIG	0
ADIPOQ	18
ADIPOR1	152
ADIPOR2	161
ADK	40
ADM2	23
ADM	52
ADNP2	47
ADNP	154
ADORA1	38
SPECC1L-ADORA2A	9
ADORA2B	3
ADORA3	138
ADO	74
ADPGK	105
ADPRHL1	4
ADPRHL2	34
ADPRH	21
ADRA1A	13
ADRA1B	5
ADRA1D	2
ADRA2A	2
ADRA2B	3
ADRA2C	2
ADRB1	6
ADRB2	6
ADRB3	0
ADRBK1	86
ADRBK2	104
ADRM1	67
ADSL	27
ADSSL1	3
ADSS	77
AEBP1	87
AEBP2	44
AEN	25
AES	121
AFAP1L1	19
AFAP1L2	13
AFAP1	35
AFF1	207
AFF2	30
AFF3	95
AFF4	319
AFG3L1P	28
AFG3L2	85
AFMID	84
AFM	0
AFP	0
AFTPH	97
C11orf96	17
AGAP1	86
AGAP2	36
AGAP3	61
AGAP6	66
AGAP5	66
AGA	17
AGBL1	0
AGBL2	4
AGBL3	1
AGBL4	19
AGBL5	20
AGER	8
AGFG1	181
AGFG2	35
AGGF1	79
AGK	37
AGL	103
AGMAT	22
AGPAT1	42
AGPAT2	27
AGPAT3	139
AGPAT4	71
AGPAT5	63
GPAT4	80
GPAT3	3
HYKK	10
AGPS	96
AGR2	38
AGR3	5
AGRN	127
AGRP	1
AGTPBP1	91
AGTR1	2
AGTR2	0
AGTRAP	26
AGT	293
ETNPPL	27
PHYKPL	46
AGXT2	0
AGXT	2
AHCTF1	372
AHCYL1	415
AHCYL2	68
AHCY	75
AHDC1	40
AHI1	95
AHNAK2	314
AHNAK	3759
AHRR	3
AHR	221
AHSA1	86
AHSA2	71
AHSG	0
AHSP	4
AICDA	4
AIDA	240
AIF1L	178
AIF1	40
AIFM1	39
AIFM2	37
AIFM3	41
AIG1	31
AIM1L	0
AIM1	115
AIM2	1
AIMP1	33
AIMP2	7
AIPL1	4
AIP	26
AIRE	1
AJAP1	15
AK1	33
AK2	153
AK4	159
AK3	95
AK5	50
AK7	7
AKAP10	54
AKAP11	301
AKAP12	308
AKAP13	427
AKAP14	0
AKAP1	88
AKAP2	42
AKAP3	0
AKAP4	0
AKAP5	30
AKAP6	208
AKAP7	14
AKAP8L	64
AKAP8	46
AKAP9	360
AK9	28
AKIRIN1	97
AKIRIN2	28
AKNAD1	3
AKNA	114
AKR1A1	151
AKR1B10	10
AKR1B15	48
AKR1B1	211
AKR1C1	40
AKR1C2	326
AKR1C3	49
AKR1C4	3
AKR1C8P	0
AKR1D1	10
AKR1E2	15
AKR7A2	42
AKR7A3	7
AKT1S1	22
AKT1	125
AKT2	95
AKT3	127
AKTIP	73
ALAD	112
ALAS1	37
ALAS2	4
ALB	1
ALCAM	490
ALDH16A1	45
ALDH18A1	60
ALDH1A1	273
ALDH1A2	4
ALDH1A3	14
ALDH1B1	14
ALDH1L1	100
ALDH1L2	68
ALDH2	217
ALDH3A1	2
ALDH3A2	106
ALDH3B1	95
ALDH3B2	199
ALDH4A1	141
ALDH5A1	81
ALDH6A1	74
ALDH7A1	84
ALDH8A1	10
ALDH9A1	133
ALDOA	796
ALDOB	1
ALDOC	138
ALG10B	91
ALG10	13
ALG11	48
ALG12	29
ALG13	59
ALG14	12
ALG1L2	3
ALG1L	5
ALG1	55
ALG2	42
ALG3	11
ALG5	22
ALG6	19
ALG8	16
ALG9	42
ALKBH1	11
ALKBH2	6
ALKBH3	23
ALKBH4	26
ALKBH5	123
ALKBH6	5
ALKBH7	16
ALKBH8	16
ALK	20
ALLC	0
ALMS1P1	3
ALMS1	247
ALOX12B	0
ALOX12P2	2
ALOX12	6
ALOX15B	207
ALOX15	8
ALOX5AP	141
ALOX5	98
ALOXE3	0
ALPI	0
ALPK1	84
ALPK2	0
ALPK3	47
ALPL	33
ALPPL2	0
ALPP	1
ALS2CL	14
ALS2CR11	12
ALS2CR12	6
TMEM237	30
CARF	42
ALS2	90
ALX1	0
ALX3	1
ALX4	0
SLC35G5	0
SLC35G6	1
SLC35G3	0
AMACR	20
AMBN	0
AMBP	0
AMBRA1	92
AMD1	174
AMDHD1	1
AMDHD2	40
AMELX	0
AMELY	0
AMFR	249
AMHR2	2
AMH	3
JAML	15
AMIGO1	6
AMIGO2	29
AMIGO3	4
AMMECR1L	24
AMMECR1	12
AMN1	12
AMN	1
AMOTL1	68
AMOTL2	67
AMOT	168
AMPD1	0
AMPD2	39
AMPD3	74
AMPH	31
AMTN	1
AMT	17
AMY1A	21
AMY2A	0
AMY2B	68
AMZ1	12
AMZ2P1	12
AMZ2	60
ANAPC10	11
ANAPC11	15
ANAPC13	13
ANAPC16	149
ANAPC1	156
ANAPC2	40
ANAPC4	69
ANAPC5	124
ANAPC7	43
ANGEL1	45
ANGEL2	86
ANGPT1	21
ANGPT2	155
ANGPT4	1
ANGPTL1	4
ANGPTL2	12
ANGPTL3	4
ANGPTL4	33
ANGPTL5	0
ANGPTL6	0
ANGPTL7	3
ANG	6
ANK1	9
ANK2	607
ANK3	269
ANKAR	22
ANKDD1A	13
ANKFN1	20
ANKFY1	196
ANKHD1-EIF4EBP3	26
ANKHD1	198
ANKH	158
ANKIB1	179
ANKK1	2
ANKLE1	22
ANKLE2	67
ANKMY1	23
ANKMY2	28
ANKRA2	15
ANKRD10	187
ANKRD11	166
ANKRD12	190
ANKRD13A	138
ANKRD13B	19
ANKRD13C	51
ANKRD13D	40
ANKRD16	41
ANKRD17	287
ANKRD1	2
ANKRD20A3	0
ANKRD20A4	85
ANKRD22	12
ANKRD23	4
ANKRD24	6
ANKRD26	69
ANKRD27	54
ANKRD28	102
ANKRD29	5
