GENE	Sample1
UBE2Q2P2	3.28512
SSX9	0.0234192
CXorf67	0
EFCAB8	0.360139
SPATA31B1P	0
SDR16C6P	0
GTPBP6	13.654233
EFCAB12	0.292901
A1BG	8.65958
A1CF	0.01067390549843
RBFOX1	0.0214553
GGACT	5.851707
A2ML1	2.4887679
A2M	1329.34448
A4GALT	5.7823
A4GNT	0.0255636
NPSR1-AS1	0
AAAS	9.79963
AACS	8.116415
AADACL2	0.0179543
AADACL3	0.0756286
AADACL4	0
AADAC	1.0037
AADAT	2.202844
AAGAB	16.57854
AAK1	10.817111779
AAMP	32.352271
AANAT	0.138305
AARS2	6.5502
AARSD1	19.3444674
AARS	36.2651
AASDHPPT	13.047326
AASDH	8.72902012143
AASS	8.7228326
AATF	16.998265
AATK	2.94117
ABAT	3.5550954
ABCA10	3.0221215
ABCA11P	3.18418
ABCA12	12.0152518039436
ABCA13	1.2673003
ABCA17P	0.722775
ABCA1	34.60952
ABCA2	7.9518413
ABCA3	47.14599
ABCA4	0.4922705
ABCA5	11.161999
ABCA6	25.70499
ABCA7	9.922417
ABCA8	20.984795422381
ABCA9	12.29167
ABCB10	10.29
ABCB11	0.0138548
ABCB1	6.169677
ABCB4	0.213974
ABCB5	10.8918889
ABCB6	4.501731
ABCB7	10.56959
ABCB8	11.741703695
ABCB9	6.2562306
ABCC10	4.315861
ABCC11	65.144301
ABCC12	21.837721
ABCC13	1.054164
ABCC1	17.81665636864
ABCC2	7.66873
ABCC3	26.719766
ABCC4	9.613451
ABCC5	6.065854264
ABCC6P2	18.6344
ABCC6	25.584217
ABCC8	0.4317083
ABCC9	24.716444
ABCD1	5.973269
ABCD2	0.977273
ABCD3	22.301595405
ABCD4	8.47163
ABCE1	24.76427
ABCF1	16.31199
ABCF2	21.8578
ABCF3	12.9105
ABCG1	30.05966531186
ABCG2	3.936897
ABCG4	0.0123641
ABCG5	0.292131
ABCG8	0
ABHD10	10.32786
ABHD11	26.42320230686
ABHD12B	0.532561
ABHD12	18.3093000002409
ABHD13	6.78407
ABHD14A	14.94348
ABHD14B	26.57016
ABHD15	5.91535
ABHD1	4.318063
ABHD2	18.76395
ABHD3	18.664614
ABHD4	11.24016
ABHD5	6.66267
ABHD6	6.26271
ABHD8	4.03509
ABI1	26.513374987309
ABI2	9.22297620010518
ABI3BP	34.026748
ABI3	7.76744
ABL1	11.8806
ABL2	16.8078260074331
ABLIM1	36.666085
ABLIM2	2.6560436
ABLIM3	7.383219
ABO	0.35037009
AOC1	1.38221
ABRA	0.0820404
ABR	17.7578411
ABT1	8.16232
ABTB1	6.06683
ABTB2	1.43856
ACAA1	31.297053
ACAA2	31.46397
ACACA	32.2333476803
ACACB	2.44475179127267
ACAD10	9.676233
ACAD11	13.308381
ACAD8	39.30282
ACAD9	18.2820940343374
ACADL	4.412242
ACADM	76.80345
ACADSB	9.06025
ACADS	6.71711600499
ACADVL	77.62697
ACAN	0.55856300233076
ACAP1	9.97071
ACAP2	24.59373
ACAP3	10.235606
ACAT1	26.13713
ACAT2	10.837311
ACBD3	39.0433
ACBD4	7.9755240044791
ACBD5	17.647117
ACBD6	23.107
ACBD7	7.141841
ASIC2	0
ASIC1	0.1249748
ASIC3	2.13268198
ASIC4	0.5103563
ASIC5	0.147361
ACCSL	0
ACCS	6.946398
ACD	3.130782
ACE2	40.28686
ACER1	0.169494
ACER2	7.320749
ACER3	10.1423420025
ACE	8.790966
ACHE	1.3048302
ACIN1	31.64713866101
ACLY	45.65231
ACMSD	0.114328
SDHAF3	4.12543
ACO1	15.779152000072
ACO2	27.01139
ACOT11	4.181815
ACOT12	0.0800699
ACOT13	9.160756
ACOT1	11.565081
ACOT2	17.41473
ACOT4	5.14797
ACOT6	1.13187
ACOT7	9.230155
ACOT8	6.484214
ACOT9	24.194300154377
ACOX1	14.24624
ACOX2	2.08498
ACOX3	6.8144455
ACOXL	1.466698
ACP1	41.25283
ACP2	21.375441
ACP5	67.9446
ACP6	7.019939
PXYLP1	2.564399
ACPP	6.34435
ACPT	0.118707
ACRBP	0.715651
ACRC	1.99756
ACRV1	0.0522913
ACR	0.183429
ACSBG1	5.95594
ACSBG2	0.0450819
ACSF2	32.83493109647
ACSF3	6.620738
ACSL1	116.65877
ACSL3	34.04415
ACSL4	33.31231
ACSL5	20.690148
ACSL6	0.867149372478
ACSM1	15.53453
ACSM2A	2.494213
ACSM2B	0.0206022
ACSM3	4.68158091414
ACSM4	0.16891
ACSM5	4.07647
ACSS1	8.761731
ACSS2	15.772577
ACSS3	13.413264
ACTA1	0.223244
ACTA2	65.565786
ACTBL2	0.136351
ACTB	2370.5072
ACTC1	0
ACTG1	764.22911
ACTG2	1.768777
ACTL6A	20.59162
ACTL6B	0.029744518491
ACTL7A	0.0159041
ACTL7B	0.0162326
ACTL8	0.0121602
ACTL9	0
ACTN1	70.0085030019365
ACTN2	0.200435
ACTN3	0.0863082
ACTN4	67.45902
ACTR10	20.209444
ACTR1A	24.128208
ACTR1B	13.2315
ACTR2	88.79323
ACTR3B	6.15856000184045
ACTR3C	13.3671
ACTR3	90.86734
ACTR5	7.11896
ACTR6	15.260384
ACTR8	7.547955
ACTRT1	0
ACTRT2	0
ACVR1B	8.348233
ACVR1C	0.0845825
ACVR1	10.605893
ACVR2A	6.19115
ACVR2B	1.978080358261
ACVRL1	17.887826
ACY1	18.2614885
ACY3	0.810035
ACYP1	13.262283
ACYP2	5.0754
ADAD1	0
ADAD2	0.0766885
ADAL	5.835719
ADAM10	39.5252990005978
ADAM11	0.0607393
ADAM12	2.3152894
ADAM15	67.3553929477
ADAM17	23.32857
ADAM18	0
ADAM19	5.61714
ADAM20	0.626066
ADAM21P1	0.318359
ADAM21	0.421175
ADAM22	1.862835
ADAM23	1.214621
ADAM28	6.232219
ADAM29	0.0142541
ADAM2	1.7304960783
ADAM30	0.00756826
ADAM32	1.9497272
ADAM33	5.4763012
ADAM3A	5.0109576
ADAM6	16.5763
ADAM7	0
ADAM8	16.96125
ADAM9	56.506903
ADAMDEC1	12.23944
ADAMTS10	7.0678711
ADAMTS12	5.296974
ADAMTS13	4.54674850025003
ADAMTS14	1.3537476
ADAMTS15	3.34487
ADAMTS16	1.046138
ADAMTS17	3.571329
ADAMTS18	0.2719569
ADAMTS19	0.1000659
ADAMTS1	62.7407
ADAMTS20	0.00387247
ADAMTS2	9.9142
ADAMTS3	2.12621
ADAMTS4	37.45703
ADAMTS5	0.952336
ADAMTS6	1.51433788
ADAMTS7	2.044115
ADAMTS8	9.18124
ADAMTS9	32.213587
ADAMTSL1	0.7848427
ADAMTSL2	9.434279
ADAMTSL3	51.18822
ADAMTSL4	9.824367
ADAMTSL5	1.234009
ADAP1	3.20227
ADAP2	12.85402
ADARB1	14.726509366428
ADARB2	0.3773539
ADAR	87.111054
ADAT1	11.566963
ADAT2	2.209697
ADAT3	1.80062
ADA	6.785777
ADCK1	4.53841
ADCK2	6.64552
ADCK4	13.88883
ADCK5	5.550857
ADCY10	2.011828
ADCY1	0.5388657
ADCY2	4.1499489
ADCY3	6.405704
ADCY4	4.0834437835
ADCY5	0.4067059
ADCY6	6.60825932
ADCY7	11.742629
ADCY8	0.0180492
ADCY9	7.24996
ADCYAP1R1	0.12939
ADCYAP1	0.61692226054
AZIN2	1.65829669597616
ADD1	36.03196
ADD2	1.136430671546
ADD3	39.89833571363
ADH1A	15.7936764563
ADH1B	361.4537
ADH1C	1.26669
ADH4	1.36734
ADH5	71.73568
ADH6	0.1837986
ADH7	0
ADHFE1	1.093789729015
ADI1	24.5599
ADIG	0
ADIPOQ	3.324893
ADIPOR1	50.608634
ADIPOR2	18.21262
ADK	27.913214
ADM2	1.758163
ADM	220.5418
ADNP2	5.1059
ADNP	22.85571
ADORA1	0.388748
SPECC1L-ADORA2A	5.22521869629
ADORA2B	1.4184
ADORA3	26.62748
ADO	8.60791
ADPGK	23.538234
ADPRHL1	2.604779
ADPRHL2	10.8778000219151
ADPRH	5.35611
ADRA1A	8.7143625702
ADRA1B	1.0281
ADRA1D	0.0588695
ADRA2A	0.696744
ADRA2B	0.56203
ADRA2C	0.956475
ADRB1	1.43003
ADRB2	4.80352
ADRB3	0.0431709
ADRBK1	17.218772
ADRBK2	8.247578
ADRM1	38.06688
ADSL	19.847705
ADSSL1	3.043928
ADSS	34.17529
AEBP1	45.15918
AEBP2	8.54558
AEN	6.926024
AES	63.047661
AFAP1L1	6.7470480131626
AFAP1L2	2.17121397447997
AFAP1	4.6471812
AFF1	25.171991
AFF2	6.46629919724
AFF3	9.913335
AFF4	29.30074895
AFG3L1P	9.12296119
AFG3L2	18.946
AFMID	78.70445
AFM	0.0113044
AFP	0.0570793
AFTPH	21.8627300237844
C11orf96	95.9947
AGAP1	6.62697
AGAP2	2.88852305
AGAP3	14.626422302
AGAP6	26.444408
AGAP5	22.36885
AGA	12.1791
AGBL1	0.2105061
AGBL2	0.644102
AGBL3	0.53123
AGBL4	2.0199109
AGBL5	5.292032
AGER	131.5894347
AGFG1	16.620347
AGFG2	7.380173
AGGF1	19.936587
AGK	12.937785
AGL	8.0756604
AGMAT	2.55119
AGPAT1	10.52958615826
AGPAT2	14.6396000459006
AGPAT3	8.71125398
AGPAT4	2.71282378115
AGPAT5	3.9281422
GPAT4	9.24434
GPAT3	1.100446
HYKK	4.182284
AGPS	7.558659
AGR2	13.9001845
AGR3	14.9711
AGRN	14.9508
AGRP	0.215543
AGTPBP1	13.244902
AGTR1	2.161477
