chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	14677	120807549	0.498914979506739	2004	0.0789622708079015	0.976674870669824	274301	0.290022213355148	2	1	1	-7.17978325581301
chr1	120810008	124514275	0.20719747739494	11	0.149277167468011	1.05427980479447	1359	0.374696097826696	3	3	0	-7.06673915873424
chr1	125098092	143263450	0.300937583478468	23	0.14273389375645	1.05927894198841	637	0.308722095447747	2	2	0	-7.13429235956372
chr1	143264664	248816707	0.361877598758623	2178	0.084562943642273	1.29738110499025	277142	0.391571176909931	4	3	1	-6.8784021094365
chr2	224919	89610726	0.479253188914164	941	0.0738542126035416	0.995722911374939	144692	0.282499981447459	2	1	1	-6.79256118712072
chr2	89611259	91975047	0.492961571692001	79	0.129575289306378	1.02685409229057	2619	0.321187969525819	2	1	1	-6.74440930053309
chr2	94857002	132645512	0.428170646257523	666	0.0913604698130818	0.848501450654277	61352	0.243602493813531	1	1	0	-6.81035405938348
chr2	132731828	241463391	0.498926268090797	1512	0.0702756629192404	1.0077202626045	208251	0.279483300713837	2	1	1	-6.78165904950724
chr3	319825	75630957	0.499090956912666	951	0.0681361404912449	0.99912657337706	144848	0.288624600096877	2	1	1	-6.73358968127544
chr3	75664321	75738575	0.327082326326346	61	0.0872463004366988	1.01485455973888	557	0.164910915187407	2	2	0	-6.74650823077124
chr3	75738588	89472543	0.498812651960717	42	0.0934853457620048	1.04134953739087	5199	0.292653663677998	2	1	1	-6.88676256905613
chr3	91483878	197854276	0.494546254757218	1337	0.0728832914490552	1.00803141997701	170000	0.285938751891885	2	1	1	-6.78543286638315
chr4	86301	48594001	0.485501849840493	575	0.0793511338040897	1.00026904308806	62799	0.291293456648968	2	1	1	-6.75301060926057
chr4	49007464	49711914	0.322916000404676	242	0.128363785433386	0.96109287194001	3403	0.27826177539668	2	2	0	-6.75224056275848
chr4	52885765	190068643	0.495087832357484	1307	0.0723326655898342	1.0166133239438	161404	0.292048575214903	2	1	1	-6.98579728015639
chr4	190082021	190179606	0.339637720696158	15	0.144802755827498	0.967381414062873	143	0.225470521077836	2	2	0	-6.73430291013958
chr5	58183	44159072	0.434867709654395	496	0.0726568105351393	1.16376928041319	55394	0.337097596176883	3	2	1	-6.73708856338112
chr5	49599458	49666991	0.326208914122441	163	0.118128485833609	0.941105862214537	2099	0.321702101260651	2	2	0	-6.74264056215867
chr5	50399214	72115891	0.14139022525712	203	0.0820988934642391	1.15290109274838	26392	0.342121986518252	3	3	0	-8.29895876262719
chr5	72116546	137923646	0.336430603330373	654	0.0928784653691293	1.02052486436728	85296	0.292006359455863	2	2	0	-6.91850637549731
chr5	137956406	181283260	0.427934251297172	594	0.0782114336985553	1.15680886473803	97518	0.337896508887258	3	2	1	-6.73575052827016
chr6	147596	60874130	0.498915023034214	830	0.0738732399163651	1.00332485362902	101496	0.283675099677676	2	1	1	-6.73802370144125
chr6	61574236	170583760	0.485850167965398	1143	0.0744049525724004	1.00748918546077	144748	0.285950678696852	2	1	1	-6.79838254675973
chr7	512409	36659094	0.409659751515942	557	0.0891934580935703	0.885128513878982	52698	0.355624892439134	1	1	0	-7.17051819477549
chr7	36724041	57485484	0.48304936998708	344	0.0809663891057563	1.06331613790866	32352	0.323351367555518	2	1	1	-7.17715549759781
chr7	60981623	158631816	0.498908639330214	1501	0.082279027090212	1.00526821142192	172491	0.305935506448833	2	1	1	-6.75010602960493
chr8	330241	43270912	0.498890699979279	718	0.0773189929187349	1.01883989274917	64742	0.289858581697309	2	1	1	-6.83767900958525
chr8	46579375	145035633	0.498903857174227	871	0.0717486978120613	1.0258554161927	122942	0.364961410580162	2	1	1	-7.00825065994501
chr9	16912	43129230	0.474496789768768	517	0.0781495602691451	1.01038928946931	60068	0.295321666581765	2	1	1	-6.82753107627885
chr9	61194086	65771415	0.443333548499276	80	0.117327465570578	1.02773910517551	3189	0.338853309845808	2	1	1	-6.88762414852988
chr9	66029638	138177303	0.479301934071791	1055	0.0757790580112054	0.993936729525836	156785	0.282466957874948	2	1	1	-6.79772666016134
chr10	47588	39198403	0.499024587294541	594	0.0771339327053141	1.00555431245345	57079	0.296496156883771	2	1	1	-6.74119411713496
chr10	41858411	42506876	0.253939048491283	107	0.126352817783402	0.919130196092598	1325	0.437635961472528	3	3	0	-6.89824249355993
chr10	42506893	133689420	0.498887792347564	1282	0.0809987051134988	0.937478174922834	166712	0.28621989723221	2	1	1	-8.70421057423777
chr11	197337	49836699	0.498905974599894	859	0.0785919485755407	0.972823726331892	98272	0.287954940972334	2	1	1	-6.99486353849261
chr11	54635380	66227470	0.498950720006648	325	0.0891123419997262	0.877724686782373	49828	0.375698542649848	1	1	0	-7.43147375333039
chr11	66335109	66860005	0.160465973825075	20	0.087514735601317	2.4863736144473	7764	0.874639622609304	9	9	0	-6.74346835163055
chr11	67266795	70948380	0.2538824068752	131	0.105322435891196	1.81725667605557	16726	1.02564236511133	8	7	1	-6.74510572892726
chr11	71435531	75911999	0.498765196640484	113	0.0864182436286367	1.01001391658619	15026	0.348782075472196	2	1	1	-6.73532583740979
chr11	76191534	78385285	0.141237336201736	64	0.0752218000079004	2.78995413427932	10639	1.48264859888955	11	11	0	-6.7441399599346
